	hemoglobin	name	weight	smoker	erytrocyty	alt	er-cv	etytr	alp	hbver	ast	hematokrit	leukocyty	indicator	trombocyty	ssn	relationship
11	7.61804	Tristan Anderson	-19.94476	Y	7.94684	5.88964	46.76581	5.22835	57.70978	6.54494	55.21667	6.35637	7.07558	1.00000	4.85687	074-83-0448	single
12	4.37962	Mark Massey	40.00156	no	8.49918	10.57070	37.46694	6.23285	36.02443	5.80050	60.06630	6.46302	8.77216	1.00000	6.18675	473-59-5107	married
13	6.13958	Theresa Holland	17.40818	no	6.17910	3.94453	51.59537	5.62092	88.08397	5.62389	44.40197	7.87952	8.07201	1.00000	7.15769	027-99-7846	married
14	4.69580	Natasha Miller	95.91564	Y	7.52720	4.48415	64.24972	6.79636	42.65045	9.87716	38.45497	5.78362	7.87430	1.00000	8.65978	309-64-6886	married
15	7.54616	Latoya Estrada	85.63317	no	6.41936	3.82602	53.93600	2.44098	63.39444	5.08934	66.38237	6.97530	7.87919	0.00000	4.02051	235-30-5960	divoced
16	9.57270	Nathan Ortiz	72.85198	yes	8.30552	7.99045	57.29626	5.60772	12.96349	4.35105	61.75983	6.70358	7.89690	0.00000	8.08655	290-18-1867	married
17	6.01956	Tyler Young	110.84502	Y	6.36270	2.83666	25.14467	6.10061	80.23317	7.58777	57.73329	8.76303	7.10643	1.00000	8.02420	559-69-6074	divoced
18	7.19334	Matthew Rodriguez MD	66.66584	yes	8.83200	12.42215	49.87716	4.54622	68.88737	7.99429	72.28832	8.96031	7.73152	0.00000	5.45034	414-71-7234	single
19	5.62571	Susan Scott	106.72584	yes	7.70596	5.94879	39.49873	7.86935	75.33340	8.24660	38.79176	6.75527	6.55491	0.00000	6.21968	053-83-3120	widowed
20	4.83905	Kathleen Flynn	92.02257	N	8.09530	7.47293	58.58490	6.33169	49.94132	9.00061	28.48636	7.71750	7.73879	1.00000	8.63775	284-51-9172	nop
21	9.08149	Rose Murray	79.43322	no	7.18986	3.22274	48.61796	6.92240	4.21638	3.19118	45.64317	6.58662	8.14754	0.00000	6.31680	643-13-3209	divoced
22	6.82298	Jason Smith	58.50012	no	8.93825	13.26252	51.16699	6.15123	83.20974	8.41081	35.26146	8.68765	6.45736	0.00000	7.83501	897-64-8265	divoced
23	7.90179	Ronnie Martin	-5.74518	no	7.78255	5.72567		5.80613	55.34887	6.79748	47.96860	6.87353	7.76513	1.00000	7.26191	725-69-3475	divoced
24	9.24611	Michelle White	37.37507	yes	8.03032	6.57836	35.87276	4.07071	10.01364	7.08405	80.40218	7.36008	7.25252	1.00000	4.97471	890-23-1313	widowed
25	3.07684	Misty Williams	22.66129	Y	6.39455	4.05846	46.56844	6.89674	9.01353	4.77013	53.50232	7.73687	5.78227	1.00000	7.92417	460-23-5883	single
26	6.14006	Beverly Herring	106.05229	no	8.58762	12.56129	59.41619	6.12456	86.70222	5.20539	55.07096	7.22965	6.83597	1.00000	7.24715	599-80-1826	single
27	6.44535	Susan Alvarez	83.90676	Y	6.13457	2.47207	53.66138	5.87868	87.79975	5.82821	52.82134	7.69103	5.87850	1.00000	7.63389	896-38-1952	divoced
28	6.09195	Rachel Arnold	116.96582	yes	7.31563	5.57778	43.29812	5.56435	80.09680		46.01713	5.38672	7.06074	1.00000	8.69689	866-50-4206	widowed
29	5.23401	Emily Jensen	92.37692	no	7.57009	5.33061	46.81307	6.94970	73.17421	5.40188	41.39990	5.48420	6.66687	1.00000	5.38390	432-55-8206	divoced
30	5.82015	Eric Bell	54.82374	no	6.31617	2.62977	61.40005	8.33066	81.48340	7.25626	51.01450	6.52649	8.84411	0.00000	6.17677	833-52-8080	married
31	5.02635	Jackie Howard	81.25330	N	5.80262	2.63917	52.07340	6.71210	60.97915	7.59858	70.00844	8.01892	6.52575	1.00000	8.13495	427-28-7333	separated
32	4.59858	Kimberly Brown	99.20314	no	8.14317	7.39004	55.52271	6.28799	40.58224	9.90769	54.31724	5.86046	8.67833	0.00000	8.02620	204-92-1271	separated
33	8.19447	Roger Jackson	43.94621	no	5.60596	3.14839	67.05384	6.54900	38.17995	7.16520	25.63371	6.78317	6.03082	0.00000	5.89469	504-35-1256	nop
34	5.95957	Seth Vazquez	-0.74424	yes	7.61589	5.44618	56.82508	5.96688	84.43771	6.30743	66.66591	7.01160	6.67037	1.00000	4.47261	231-19-7008	nop
35	8.00240	Bobby Luna	8.16294	no	7.22363	5.65928	76.75870	4.07527	38.88271	6.46172	14.97977	9.03255	8.02527	1.00000	7.23834	831-64-8207	separated
36	3.87574	Andrew Sanchez	43.03124	yes	8.11667	7.88522	38.88222	5.40700	20.78708	9.07637	40.31698	8.11372	7.01064	1.00000	9.46528	166-97-6951	widowed
37	6.43093	Christine Frazier	74.46314	no	6.13337	3.33996	63.83631	6.86530	79.49643	8.40896	52.71553	8.04328	7.27991	0.00000	5.06006	125-48-5824	separated
38	4.47535	Patricia Hernandez	47.03429	Y	5.38284	1.24327	50.60301	6.24565	44.72899	7.65589	32.67577	8.52051	5.09895	1.00000	8.59359	815-45-8008	married
39	7.32334	Alicia House	47.39828	no	7.12452	3.32691	63.22819	7.08974	63.24114	6.52373	82.73013	6.32650	7.18142	0.00000	5.41765	143-48-1785	widowed
40	7.71545	Elizabeth Howell	50.48818	no	8.65052	11.01881	44.86598	4.69817	53.52057	4.73158	57.18451	6.02290	6.35229	0.00000	5.38530	235-21-9024	divoced
41	6.48164	Jennifer Evans	85.24911	no	5.84009	2.15359	53.26361	6.71783	82.44944	7.57975	58.07423	7.02437	7.02946	0.00000	5.30963	162-94-8765	single
42	5.33339	Keith Griffith	101.90636	yes	8.23718	9.33725	42.30117	6.22669	74.83721	5.75048	41.39427	6.38561	9.06392	1.00000	5.88965	090-38-9034	married
43	6.80112	Brian Atkins	48.22922	no	8.39409	9.46751	27.71754	6.78698	90.83259	7.66126	25.35782	8.41153	5.35045	0.00000	4.70956	633-56-8269	married
44	6.04124	Paul Mayo	58.69412	no	7.96922	6.75267	61.13361	5.89815	88.78872	7.56096	67.86361	6.35794	7.71978	1.00000	8.09818	527-09-9368	divoced
45	5.93949	Jeffrey Baker	116.15229	no	8.26915	9.12654	50.62994	4.67144	79.50579	10.51833	53.24736	7.70050	7.40892	0.00000	5.76616	686-30-2318	divoced
46	7.40342	David Allen	70.34289	yes	8.14374	8.60607	57.20551	5.14208	56.88474	6.44207	42.88691	7.03148	6.74724	1.00000	5.40270	564-98-7722	divoced
47	4.48642	James Brown	101.11888	yes	5.74916	2.09186	43.28058	6.68010	43.13328	7.78152	60.60812	7.93369	7.32518	1.00000	8.38859	604-36-8992	single
48	5.65472	Richard Davis	52.60857	no	8.12003	7.13635	56.96739	6.02924	78.87864	5.69443	40.27667	7.74031	4.25181	1.00000	6.38800	377-67-5109	divoced
49	3.60378	Erica Parker	65.75753	yes	7.46187	4.28985	61.49392	6.65045	14.01409	11.50083	61.65591	5.29229	7.92897	1.00000	9.45488	132-75-7000	separated
50	4.93690	Megan Harrison	83.41610	N	6.43217	4.17977	60.62886	5.49804	55.30420	6.99846	77.05533	6.50558	9.10104	1.00000	8.61734	427-41-6914	married
51	4.56174	Sheryl Strickland	86.66083	no	8.24875	8.08862	46.02038	7.32615	42.68362	9.87839	47.43533	6.65011	6.93991	0.00000	7.70682	285-42-0992	married
52	9.22257	Gary Taylor	48.99499	yes	6.74442	1.88041	92.82973	8.82561	10.56812	5.09744	79.58828	5.32252	6.73409	0.00000	5.60557	549-44-9853	divoced
53	6.43673	David Pena	30.48207	no	5.98853	2.47820	29.92777	9.35454	86.01192	8.16846	62.12034	8.99041	8.08692	0.00000	4.98335	187-43-3188	single
54	5.58109	John Jackson	132.22532	no	5.77161	4.26306	43.62653	8.70113	77.47934	10.39392	35.85664	5.57872	8.78929	0.00000	6.20019	498-32-6744	widowed
55	5.69611	Samuel Miller	110.20843	no	8.24050	6.65452	78.85996	5.00851	77.75487	7.76796	55.04923	6.23630	5.95489	1.00000	8.67973	201-73-1920	single
56	6.49789	Justin Norton	151.32491	Y	7.31909	4.82154	31.25769	5.13343	86.13408	6.42176	54.53546	8.43527	6.91505	1.00000	5.86939	226-40-9528	separated
57	10.25916	Cody Moody	104.47582	Y	6.60160	2.46867	16.14730	2.88244	21.68566	3.85634	57.70419	8.63897	6.72324	0.00000	7.50632	446-09-3653	married
58	5.21385	Daniel Brown	107.41150	no	6.20320	2.47054	44.21356	6.06159	62.21469	8.63515	54.85810	6.14741	7.33868	1.00000	8.55118	673-60-1261	single
59	8.42425	John Randolph	29.21693	Y	6.54033	0.65378	56.71715	5.10671	28.44314	9.21107	79.11173	6.45773	7.87665	0.00000	7.83809	527-29-6902	married
60	3.71382	Whitney Hill	59.87045	no	7.74057	6.06013	42.99931	6.17031	12.56968	9.23523	38.56841	6.67340	6.98656	1.00000	9.20777	722-83-3792	single
61	6.26601	Karina Walker	37.81321	no	6.93770	3.37470	37.15973	5.97473	80.14084	6.32934	25.16290	7.41896	7.43070	1.00000	4.30988	239-91-0382	married
62	6.85804	Gabrielle Osborne	94.26899	N	5.99217	3.03369	31.88014	5.04543	71.15846	6.57546	83.52760	7.99298	5.92945	1.00000	5.29187	591-84-3805	single
63	8.30242	Timothy Davidson	25.09527	no	7.12035	4.65239	55.21046	5.28258	29.59240	6.89117	67.80006	7.68371	7.32193	0.00000	5.46942	126-42-7657	single
64	6.81092	Angela Miranda	45.14862	no	6.86866	2.44521	33.89947	4.99436	82.04991	6.02657	57.31494	6.73323	4.80333	1.00000	7.05059	852-19-5942	married
65	2.99097	Paul Rivera	99.84693	no	5.58903	2.78094	38.64183	6.11427	10.52789	11.97594	70.61934	7.27156	5.70745	1.00000	10.03684	638-07-8122	widowed
66	5.47972	Jennifer Waters	72.03426	Y	7.55652	5.46061	38.52609	5.74546	78.83575	8.57530	45.16528	7.37026	5.43488	1.00000	8.57313	194-85-7905	nop
67	5.00797	Charles Proctor	121.29084	no	6.43387	3.95601	59.27177	8.37721	58.67320	8.35340	47.56426	6.95625	8.20209	0.00000	7.13276	113-28-8335	married
68	7.37727	Brett Griffin	-25.74332	no	6.79787	2.24744	50.59741	5.77363	67.37472	7.23493	44.76254	6.92001	7.19782	0.00000	5.22048	027-14-1064	divoced
69	5.06804	Christine Barber	152.38464	no	7.74583	6.55135	53.29534	8.03998	65.78465	8.65574	62.28670	8.88891	6.53852	0.00000	6.99399	350-17-2708	separated
70	4.17378	Kelly Wallace	41.83730	no	7.16729	6.30833	53.37410	5.69627	29.31320	8.72018	52.86962	6.60124	7.16548	1.00000	9.13192	539-29-4145	widowed
71	6.23852	Cheyenne Wilson	104.43045	yes	6.32433	4.88586	68.51022	7.28561	88.94584	7.43915	32.90444	6.26918	8.41906	1.00000	7.35705	804-15-0301	single
72	8.14281	Rachel Stewart	100.07501	no	6.66415	4.48689	50.19514	6.94370	34.65711	7.19569	58.77072	6.89922	8.31659	0.00000	5.24640	533-67-2750	separated
73	10.33532	Andrew Barnes	48.93466	Y	6.94062	3.59128	48.01917	2.59079	29.91665	8.03577	59.33114	5.04250	7.39702	1.00000	4.88529	704-29-9837	widowed
74	5.54648	Samantha Lawson	69.36671	no	9.46958	21.51172	66.35444	5.54017	78.12275	5.98221	56.91012	6.80965	6.18174	1.00000	8.16028	006-91-8328	divoced
75	6.02284	Lori Young	105.60112	no	6.24899	2.85520	33.95497	5.96213	80.82932	5.69307	58.40637	7.33467	7.42146	1.00000	6.31552	726-45-0202	married
76	5.90283	Timothy Myers	57.37078	Y	8.23068	8.40453	53.10952	6.20997	81.45019	9.49002	41.19491	5.11557	6.61521	1.00000	8.37203	527-60-0891	divoced
77	8.18902	Travis Mitchell II	60.71689	Y	7.78918	5.62371	61.75795	7.94374	32.32565	4.41278	49.66114	7.89126	6.29909	0.00000	6.23841	280-37-5152	divoced
78	5.98028	Alyssa Davies	102.82048	no	6.22303	4.14950	53.65915	5.84108	80.47863	8.68664	44.74747	6.58789	5.95330	1.00000	8.35494	349-76-7507	separated
79	8.05422	James Fitzgerald	117.31421	no	5.86979	3.39101	54.38582	7.12267	48.69271	11.75829	43.92800	7.82908	7.25334	1.00000	7.53923	248-81-5598	single
80	4.89344	Paul Rivera	77.55021	Y	7.87854	6.12230	40.24897	6.45155	50.24698	5.93928	63.01779	5.42546	6.24326	1.00000	8.00111	638-07-8122	single
81	7.36635	Stephanie Reynolds	101.82967	no	6.62482	3.04735	44.83128	4.49555	66.26890	4.60069	42.60754	7.48010	7.04606	0.00000	4.56014	170-47-3013	widowed
82	6.91290	Corey Stout	91.95680	no	6.07929	3.67236	35.08434	7.93897	72.93723	8.23661	41.10861	6.98030	5.70116	0.00000	4.46581	070-67-4941	divoced
83	6.29739	Nicholas Bailey	102.76695	N	4.88939	2.09287	69.07550	5.41392	85.69648	6.04567	65.77153	6.66707	7.28254	1.00000	6.42165	853-65-2947	widowed
84	4.93157	Joseph Williams	115.94872	no	7.42129	5.08229	34.81680	5.72539	55.94504	10.80860	75.73122	6.11921	6.79899	1.00000	9.22257	657-26-7365	single
85	5.37028	Mrs. Patricia Schroeder	17.56840	Y	6.16618	0.90798	69.75575	4.41390	73.15564	8.40129	42.35027	6.89381	7.17847	0.00000	9.18292	552-10-6935	married
86	5.80688	Amanda Santiago	76.80651	no	7.08534	5.72355	37.68542	5.53679	84.98443	6.30498	58.47638	8.87222	7.42429	1.00000	5.39012	117-49-3680	single
87	4.74003	Megan Ward	81.96604	yes	7.36977	4.68855	52.75341	6.42801	58.14131	9.97539	37.57023	7.15733	6.73947	0.00000	7.88252	856-54-5798	married
88	7.35029	Trevor Brown	45.00376	no	7.08404	3.22509	69.96652	5.89208	67.49460	6.35320	48.54154	7.89598	7.85852	1.00000	7.36329	335-84-0926	divoced
89	4.07565	Sherri Walker	70.54855	Y	5.90993	2.37678	66.98428	6.86423	24.38165	5.15388	46.76886	7.41736	6.66930	1.00000	6.67877	753-53-4237	divoced
90	4.99425	Christopher Schneider	35.71980	no	7.15913	3.60442	37.30760	6.26971	60.20460	5.70604	50.71516	6.63487	7.44006	1.00000	6.09515	687-25-2709	divoced
91	6.82575	Ronald Brooks	46.44517	Y	6.64626	3.19474	32.55833	4.57908	79.00216	6.41465	62.88611	7.59773	8.09101	1.00000	6.85144	450-63-8776	married
92	4.86860	Jill Mason	138.46142	yes	7.31755	3.96119	62.90091	4.59805	52.74539	9.81859	51.39195	7.01472	7.29806	1.00000	9.58421	168-38-4506	single
93	4.06486	Thomas Maddox	84.25841	N	7.67273	4.18962	63.63700	7.24911	23.93010	4.94211	64.09137	6.37672	6.25443	1.00000	6.59294	849-26-4487	single
94		Joseph Baker	58.05350	no	6.19947	3.20429	49.04058	7.65118	11.34958	4.61357	75.56416	7.85436	8.63045	1.00000	7.09942	688-14-1735	married
95	5.12663	Holly Howard	33.82329	yes	8.42606	9.52539	40.78377	6.70935	70.03694	5.39531	49.13009	6.19071	8.46986	1.00000	6.02807	513-11-2591	separated
96	6.86292	Matthew Davis	29.37076	no	6.92578	3.46317	34.32475	5.29355	84.25215	9.46499	52.36092	6.00861	6.25649	1.00000	8.40438	184-82-7458	nop
97	5.18487	Andrew Wilson	118.32713	N	7.04038	4.13714	31.40715	5.80305	68.01067	5.66614	70.17270	6.56220	8.28571	1.00000	6.87115	371-89-0179	divoced
98	8.12190	Dawn Bowman	62.40783	no	5.53619	2.92189	47.31104	4.85992	37.92345	5.09040	56.80846	7.16064	7.43751	0.00000	5.70193	378-39-9897	married
99	4.52245	Julie Little	116.79320	yes	5.68316	1.65288	68.14687	7.09572	41.59478	5.60674	41.07006	7.12275	7.38359	1.00000	7.77499	733-38-2601	married
100	5.89636	Lisa Olson	42.16816	no	8.56554	12.36550	67.28644	5.43194	81.62730	6.20528	82.76545	6.60085	8.87607	1.00000	5.84574	062-46-0939	married
101	6.17967	Danielle Norton	83.78067	no	7.91311	7.63384	61.75775	8.03808	81.86810	8.62618	57.01460	5.01669	5.39133	0.00000	5.28127	633-81-5886	single
102	6.75391	David Pena	115.70786	no	5.62212	2.87200	64.55196	6.54080	83.13028	7.04269	72.87105	7.87950	8.03886	1.00000	7.42954	187-43-3188	separated
103	5.04718	Andrew Barnes	100.88854	Y	5.72312	3.20473	54.68691	6.71720	65.50768	6.36183	53.39086	7.15430	6.52885	1.00000	7.89080	704-29-9837	divoced
104	6.53947	Valerie Huynh	46.36874	yes	5.54719	3.38612	37.64367	7.72647	86.61035	8.58176	35.62810	7.33067	7.10082	0.00000	4.62516	467-81-0226	married
105	9.07708	Jason Myers	-0.28041	Y	6.60087	2.86692	70.10779	8.12093	16.37230	4.82725	64.21924	7.48441	6.73998	0.00000	6.20828	430-39-5450	married
106	7.10818	Douglas Macdonald	40.82694	yes	6.47412	2.64188	34.97419	6.35878	75.99399	5.80419	68.67588	7.50824	7.57852	1.00000	4.82733	048-86-3375	divoced
107	5.22982	Phillip Espinoza	46.63622	no	6.37170	2.80266	34.70955	4.96114	67.87479	7.00885	48.84690	8.76839	5.48461	1.00000	4.73616	717-32-9586	widowed
108	5.61604	Sarah Hughes	56.87034	yes	5.15284	2.05806	56.15601	5.67123	70.24195	6.34560	49.63694	8.16532	7.14294	1.00000	5.20457	194-07-8359	divoced
109	5.45454	Stephanie Mclaughlin	22.75946	no	7.28675	5.78892	38.64804	7.89562	77.76731	9.85585	57.95221	6.79626	6.24602	0.00000	6.44194	214-49-4197	divoced
110	7.18004	Natasha Rodriguez	70.48880	Y	8.68602	11.22147	21.00037	9.41961	62.80867	5.38426	76.69446	5.98970	5.01287	0.00000	4.45677	285-94-3839	divoced
111	7.83844	Linda Davis	74.26011	no	6.02012	1.96785	39.42524	7.75519	53.16299	5.28429	44.88270	5.50220	5.12423	0.00000	5.82855	381-98-2101	divoced
112	4.82734	Daniel Curtis	23.73827	no	5.96205	2.26264	38.88631	6.83048	56.06699	4.83946	28.92672	6.57524	5.24229	1.00000	7.53773	654-93-9162	divoced
113	9.26748	Samantha Haney	78.65686	no	7.64570	6.04548	46.17794	7.92600	6.24240	7.85207	82.55550	6.76627	8.54580	0.00000	3.94906	729-99-5617	divoced
114	5.70981	Angela Fields	40.27809	N	6.13302	3.08366	30.07512	6.56905	83.49157	5.12901	53.31922	7.94520	5.94850	1.00000	6.77752	035-21-4084	divoced
115	5.71681	Brian Flynn	104.02959	no	8.87545	13.35020	32.55487	6.46342	78.89359	4.93291	55.12698	7.49458	7.85749	1.00000	7.62780	486-78-2447	single
116	7.73056	Jacqueline Abbott MD	58.27822	no	7.09524	5.44681	59.86139	4.27804	54.63521	9.93264	68.97698	5.72690	6.45375	1.00000	8.62144	152-69-2439	single
117	5.05736	Antonio Spencer	89.65195	N	8.20568	8.84356	49.11958	9.16937	67.21780	8.68229	58.76125	5.48656	6.95563	0.00000	7.11732	589-40-2659	married
118	7.90552	Angela Johnson	53.06735	Y	8.37583	8.47716	63.53333	4.63408		7.12377	42.73124	7.80499	7.65493	1.00000	4.26581	420-92-6994	married
119	5.01935	Cynthia Stout	36.16846	yes	7.69696	7.90096	34.70736	6.46630	61.10494	5.34413	45.02766	8.91554	7.51677	1.00000	6.65975	328-71-5047	divoced
120	4.69213	Jonathan Campos	63.30777	no	8.03216	7.33978	68.85479	5.88175	41.94868	9.07568	49.58709	7.51556	5.78162	1.00000	8.92569	545-41-8630	separated
121		Barbara Griffin	94.80234	no	8.79480	12.93038	55.13101	6.82265	33.75882	5.52955	42.90747	7.40612	7.70959	1.00000	5.60740	347-88-0765	married
122	5.80733	Jonathan Wright	85.69586	yes	7.33635	5.81907	69.54194	5.95687	81.51280	5.96267	57.73697	7.49901	6.88033	1.00000	5.60475	592-82-0797	single
123	3.89852	Jamie Quinn MD	71.21329	no	6.48315	4.60418	51.77038	5.58946	29.52000	10.14044	41.68226	6.79020	6.24669	1.00000	9.55343	657-15-8990	separated
124	4.42933	Karen Brown	87.14119	Y	7.56130	5.23914	39.16796	5.27071	43.72615	7.34986	24.14769	6.35725	6.18951	1.00000	8.97978	731-43-9494	separated
125	7.12111	Janice Carpenter	33.26587	no	5.37356	2.62782	52.43489	4.75503	69.68509	6.38542	34.74254	6.13200	7.51577	1.00000	6.35373	162-92-5802	married
126	10.16450	Carrie James	76.28596	no	7.45784	4.52602	64.26375	7.08760	24.03735	3.89801	43.43532	6.71221	5.36462	0.00000	7.14441	552-56-2229	married
127	6.43544	Catherine Chang	57.45889	no	6.56516	3.29464	56.21563	6.53658	82.83516	8.52556	43.36994	8.61948	7.82392	1.00000	7.84084	393-05-4593	divoced
128	5.41213	Nancy Moreno	66.84974	yes	6.96705	4.55628	40.07104	7.15344	75.84004	4.76734	42.71226	6.96407	6.02008	1.00000	6.71275	776-16-9350	widowed
129	6.14564	Denise Anderson	89.73693	no	6.79635	2.33231	48.38520	6.00304	92.49095	5.66141	56.89418	8.43008	8.84005	1.00000	6.36755	365-70-1469	married
130	6.23403	Benjamin Austin	52.14802	no	7.49444	5.84812	49.69653	5.73661	85.04761	5.63675	64.22221	5.24645	8.33795	1.00000	6.81771	767-15-5272	separated
131	10.35430	Matthew Nichols	72.98767	yes	8.07561	8.78269	70.52544	6.44523	23.03969	4.73962	56.52269	7.60028	5.90737	0.00000	5.16069	064-31-0054	divoced
132	7.72541	Julie Valencia	65.86384	no	5.26630	3.84220	50.39940	4.89189	45.53285	6.33019	43.03342	6.15152	7.96124	1.00000	5.95577	318-28-9006	divoced
133	6.03218	Amber Mathis	79.71324	yes	6.58425	4.18316	52.10815	5.01870	88.86964	6.26163	65.11794	8.58354	9.09175	1.00000	6.54671	606-68-8068	married
134	6.04398	Ashlee Price	57.68382	no	7.76988	6.23507	43.01080	7.52636	81.33602	7.89980	60.98142	6.82455	5.55360	0.00000	5.92123	349-34-0837	nop
135	5.83531	Alicia House	16.32054	yes	7.01543	3.81154	55.63921	6.07302	85.21831	9.26604	42.80339	8.28280	8.30746	1.00000	8.42473	143-48-1785	single
136	10.16513	Susan Johnson PhD	114.54529	no	6.01368	2.02449	50.60687	8.73791	21.75970	6.71236	53.35881	5.95936	8.15340	0.00000	3.76768	283-82-1333	nop
137	7.55255	Rachel Levine	59.43652	no	8.37401	8.25562	33.83844	5.42900	66.67276	5.38495	35.65645	7.32862	7.34972	0.00000	3.44908	701-57-5177	divoced
138	4.37590	Eddie Mcdonald	68.22759	no	7.04505	5.16762	63.42372	4.38490	40.13130	11.29078	39.72839	6.66391	7.56681	1.00000	10.15539	256-94-7444	single
139	7.39286	Amy Rivera	44.45455	yes	6.88334	4.20549	74.19969	4.30572	70.10250	7.56042	59.48609	8.15343	6.63585	0.00000	4.59527	314-73-7182	married
140	5.50069	Steven Martinez	81.38119	no	8.39245	10.09572	85.91229	5.96425	71.53525	8.15271	63.56055	6.95659	6.23294	1.00000	8.39159	075-28-5755	nop
141	7.13349	Julie Powers	33.43209	no	7.48165	4.15327	21.59255	6.81939	77.36983	5.62307	39.22004	6.37087	8.72503	1.00000	6.88481	550-78-4276	divoced
142	2.32942	Kristin Wiggins	80.24531	no	6.00381	1.51581	81.58949	6.30109	19.26373	11.64917	55.69048	5.25688	7.33124	1.00000	10.13317	489-76-4008	married
143	6.51479	Dennis Lopez	120.12645	no	5.81638	2.22782	42.84724	8.66795	80.94702	7.05618	64.25567	6.98998	6.90704	0.00000	5.10000	219-64-8060	divoced
144	5.20481	Christopher Brown	76.77875	no	7.78025	6.21182	50.72261	6.26638	65.07437	5.21137	34.22743	6.33996	7.02853	1.00000	7.33072	390-85-5776	separated
145	3.90407	Yvonne Hammond	19.90277	no	6.92187	3.50194	50.51869	7.50806	20.37850	4.84267	64.56771	5.57864	7.11459	1.00000	6.37622	756-44-5273	divoced
146	4.25061	Michael Hill	53.55835	no	7.23407	4.03056	53.83742	6.91136	30.97101	4.67489	57.73082	8.27360	6.60751	1.00000	7.99506	219-77-9431	widowed
147	7.26371	Patrick Greer	-4.88739	no	7.08796	4.68161	57.31235	5.80986	63.48892	6.06639	49.21292	7.91800	8.71698	1.00000	5.02753	305-57-5059	married
148	8.69399	Laura Williams	87.27857	no	6.49758	3.32100	66.33172	7.60101	20.67168	5.86245	48.98089	8.31664	7.32337	0.00000	6.47047	571-16-4549	divoced
149	6.78329	Richard Bailey	51.73049	Y	7.61225	6.29253	26.92652	7.51707	78.00691	7.36378	45.54830	7.35117	5.23391	0.00000	5.09062	259-70-8822	married
150	6.47048	Sarah Bender DVM	56.44926	no	7.28602	3.57067	39.17906	8.64239	82.99659	7.07843	54.47030	7.66958	7.27976	0.00000	5.55381	791-14-1476	divoced
151	8.52010	Maurice Williamson	21.86394	no	7.18029	4.67785	47.97844	8.80329	32.74016	4.11281	38.46456	5.45423	4.97538	0.00000	6.75417	439-16-6811	married
152	5.19204	Cynthia Logan	98.53088	yes	6.64762	5.31830	26.11768	7.05061	69.39017	8.62536	36.38214	5.92527	5.87860	1.00000	7.26740	784-79-8449	divoced
153	6.87489	Edward Williams	77.91868	no	6.55153	2.96271	47.97356	2.55418	76.56270	5.90086	45.26849	7.07066	6.76284	0.00000	6.70154	285-75-5878	married
154	7.07591	Jennifer Trevino	59.89081	no	7.94822	6.82024	62.92285	5.98136	72.24452	6.67154	50.04871	6.92721	5.86102	1.00000	7.48886	441-90-4015	widowed
155	3.61489	Karen Maldonado	108.84028	Y	7.03942	4.05391	38.04295	6.97159	15.82126	8.31017	58.96411	4.84991	6.16651	1.00000	8.70438	132-33-6767	nop
156	6.84343	Joseph Phillips	-8.81483	Y	8.14054	7.78536	41.32914	8.41534	83.25031	8.32737	55.16360	7.97274	7.26761	0.00000	4.50871	107-87-6421	widowed
