	race	current_location	sex	birthdate	blood_group	ssn	job	name	residence
21	White	(Decimal('50.216227'), Decimal('38.974594'))	M	1906/10/23	B+	332-57-6678	Engineer, manufacturing systems	Andrew Duran	"24850 Krista Bypass
Lake Taylorside, OK 60910"
22	White	(Decimal('0.887513'), Decimal('128.513106'))	F	18 Jul 1916	A+	875-20-2074	Clinical cytogeneticist	Jessica Mueller	"84533 Ellis Shoals Apt. 410
Watkinshaven, TN 23344"
23	White	(Decimal('20.079555'), Decimal('134.012684'))	M	2012-06-03	AB+	720-64-8128	Sports development officer	Scott Silva	"635 Kenneth Divide
East Krista, TX 10679"
24	White	(Decimal('70.212617'), Decimal('-51.867750'))	F	1983/03/14	O-	129-11-1803	Technical author	Cindy Brown	"11913 Mclaughlin Trail
Audreyborough, SD 02712"
25	Black	(Decimal('-63.435518'), Decimal('158.400622'))	M	2020-11-16	A+	765-93-1440	Quality manager	Ryan Barrett	"759 Martin Mountain
Larsonshire, MN 90398"
26	White	(Decimal('-83.024872'), Decimal('103.015230'))	M	10/17/1955, 00:00:00	B+	701-96-4074	English as a second language teacher	James Douglas	"6681 Jeffrey Tunnel
Port Ashleychester, HI 38141"
27	Black	(Decimal('54.4895095'), Decimal('154.310510'))	M	22 Feb 1920	O+	559-69-6074	Advice worker	Tyler Young	"8495 Joseph Ville
Adamfurt, NM 44974"
28	White	(Decimal('64.6683385'), Decimal('-161.751729'))	F	18 May 2006	B+	874-56-1091	Fish farm manager	Patricia Potter	"USCGC Weaver
FPO AP 65009"
29	Black	(Decimal('51.9112725'), Decimal('140.333484'))	F	1958-07-26	B-	838-89-6998	Secretary/administrator	Kristi Pitts	"PSC 4153, Box 6621
APO AA 48952"
30	Black	(Decimal('-66.423065'), Decimal('-122.310870'))	F	09 Dec 1989	AB+	549-82-7441	Trade mark attorney	Tracy Delacruz	"422 Fletcher Pass Apt. 692
New William, WA 12090"
31	Hawaiian	(Decimal('-62.8578235'), Decimal('-23.648558'))	F	03 Nov 1975	B-	719-75-7047	Mental health nurse	Sandra Brown	"4285 Robinson Turnpike Apt. 954
South Kathleen, MS 08350"
32	White	(Decimal('66.9609275'), Decimal('-170.128996'))	M	1956-08-15	B+	239-20-6584	Designer, furniture	Edward Bryant	"3991 Kelly Spurs Suite 145
Martinberg, MA 65753"
33	White	(Decimal('56.1256605'), Decimal('-130.837859'))	F	1977/07/05	AB-	764-42-6109	Camera operator	Sarah Mayo	"7508 Wise Forks Suite 033
West Rachel, MO 85803"
34	White	(Decimal('67.039448'), Decimal('-19.094541'))	F	1942-04-27	B+	295-24-2416	Police officer	Sarah Joseph	"5884 Miller Forges Apt. 510
Port Kevin, AL 18517"
35	White	(Decimal('-41.269727'), Decimal('111.814200'))	M	1952-09-25	O-	111-77-7439	Surveyor, minerals	Arthur Anthony	"896 Patricia Forest
Jonesborough, TX 37869"
36	Asian	(Decimal('-22.2075315'), Decimal('111.747532'))	F	01/26/2001, 00:00:00	A+	224-55-6009	Copywriter, advertising	Kristen Cardenas	"59486 Michael Flat Apt. 566
West Ericside, SD 63430"
37	Black	(Decimal('48.343377'), Decimal('57.021477'))	F	1943/11/16	A+	277-13-1596	Garment/textile technologist	Holly Lloyd	"5412 Robinson Branch
Michaelburgh, AR 48427"
38	White	(Decimal('55.4058505'), Decimal('13.158996'))	M	01 Sep 2018	B-	638-07-8122	Commercial/residential surveyor	Paul Rivera	"0237 Burton Crescent Apt. 162
Freemanmouth, MT 38740"
39	White	(Decimal('-64.1287315'), Decimal('49.303976'))	M	1968/04/20	A+	086-94-2491	Mudlogger	Bradley Weaver	"30712 Mercado Port Suite 088
West Abigailbury, ID 44741"
40	White	(Decimal('-34.8284095'), Decimal('-63.797663'))	F	10/07/1964, 00:00:00	O+	194-85-7905	Data scientist	Jennifer Waters	"Unit 5778 Box 8230
DPO AP 41207"
41	White	(Decimal('6.5653705'), Decimal('-86.814627'))	M	10/07/2006, 00:00:00	O-	214-74-9310	Designer, furniture	James Mitchell	"USS Wilson
FPO AE 14764"
42	Black	(Decimal('-73.544086'), Decimal('72.207086'))	F	11/02/1996, 00:00:00	B+	702-63-6996	Wellsite geologist	Katherine Carter	"769 James Orchard Suite 696
Trevorton, IL 29856"
43	Black	(Decimal('-34.451547'), Decimal('-134.538234'))	M	2016-06-03	B+	160-92-9785	Ranger/warden	Joshua Valentine	"5935 Daniels Ridges
West Melissachester, MO 02206"
44	White	(Decimal('-15.877985'), Decimal('-102.203898'))	F	12/22/1913, 00:00:00	O-	189-54-4264	Nature conservation officer	Jessica Grant	"Unit 7802 Box 8801
DPO AE 58197"
45	White	(Decimal('-86.5404135'), Decimal('-147.043080'))	M	2011/03/05	O+	330-33-0147	Contractor	Mr. James Livingston Jr.	"534 Farrell Stravenue Apt. 372
Lake Marytown, DE 83115"
46	Asian	(Decimal('-59.9503715'), Decimal('84.981769'))	M	06/03/1946, 00:00:00	B+	389-40-1272	Engineer, maintenance	Robert Schmitt	"78017 Cannon Locks
Barronberg, DE 27446"
47	White	(Decimal('-83.771433'), Decimal('-166.066142'))	M	1935/03/19	A+	255-36-2871	Writer	Noah Stewart	"812 Carrillo Squares Apt. 631
Phillipsshire, MS 19412"
48	Asian	(Decimal('-7.6684135'), Decimal('66.054534'))	F	01/11/1956, 00:00:00	A-	352-10-5044	Landscape architect	Julie Blake	"USNS Fischer
FPO AE 49992"
49	White	(Decimal('-8.9990165'), Decimal('-68.416864'))	F	27 May 1969	AB-	778-51-8049	Journalist, magazine	Michelle Fuller	"974 Cantrell Parkway
Yatesborough, NJ 20205"
50	White	(Decimal('69.1565555'), Decimal('-141.852608'))	M	05 Apr 1990	AB-	759-91-4319	Social research officer, government	Jonathan Mckinney	"37637 Gould Way
Jordanstad, NM 67833"
51	White	(Decimal('-35.153846'), Decimal('-110.743500'))	F	05 Sep 1968	A+	824-60-6779	Dancer	Cassandra Hinton	"733 Jones Roads
Lake Edward, MD 43520"
52	White	(Decimal('47.890075'), Decimal('121.539996'))	M	2017-10-06	O-	662-47-3268	Legal secretary	Mr. David Gomez	"9924 Melissa Pine
Lisamouth, ME 08797"
53	Asian	(Decimal('2.981134'), Decimal('-32.897714'))	M	06/10/1957, 00:00:00	A+	800-58-7580	Engineer, site	Ian Jackson	"213 Allen Points
Mariafort, MS 53997"
54	Black	(Decimal('86.681238'), Decimal('14.275003'))	F	1976/07/25	B+	212-31-0022	Administrator	Linda Gomez	"2089 Susan Route Apt. 406
Lawrenceland, NJ 01163"
55	White	(Decimal('-40.609720'), Decimal('27.759099'))	F	1910/01/30	O-	682-72-3097	Publishing rights manager	Jessica Jackson	"89593 Jefferson Garden
Port Kenneth, AZ 78083"
56	Black	(Decimal('46.734161'), Decimal('-41.538082'))	M	1940/03/22	AB-	190-56-6477	Surveyor, mining	Matthew Davis	"45364 Larry Glen
Amandachester, DC 21536"
57	Hawaiian	(Decimal('-24.153403'), Decimal('20.314968'))	M	22 May 1926	B+	655-81-8400	Newspaper journalist	George Wilson	"8882 Michael Island Suite 620
Barretttown, RI 39444"
58	Hawaiian	(Decimal('-1.8867955'), Decimal('91.972028'))	M	03/07/1912, 00:00:00	A-	669-51-3222	Stage manager	Ricardo Ferguson	"4821 Ramirez Isle Apt. 906
Mercadochester, KS 51006"
59	White	(Decimal('18.523829'), Decimal('-20.048468'))	F	02/08/2004, 00:00:00	B+	820-42-9711	Conservator, museum/gallery	Marisa Dean	"758 Cody Lakes
Marvinmouth, MO 21630"
60	White	(Decimal('-71.4627935'), Decimal('37.000622'))	M	1979-06-02	B-	140-30-5968	Fish farm manager	Christopher Patterson MD	"3838 Sabrina Rue Apt. 871
Hollyburgh, FL 25106"
61	Black	(Decimal('-29.425347'), Decimal('6.538160'))	F	01/29/1922, 00:00:00	AB-	870-38-0549	Data scientist	Ann Hill	"5560 Mary Forges Suite 647
South Kennethhaven, MI 39354"
62	White	(Decimal('-61.981739'), Decimal('156.677516'))	M	19 Dec 1914	O-	197-09-7151	Company secretary	Stephen Wolf	"266 Lam Isle Suite 251
New Edwin, MS 60081"
63	Black	(Decimal('60.7404425'), Decimal('-41.168603'))	F	10 Feb 2013	A+	141-53-1326	Librarian, public	Sara Hart	"25530 Vazquez Parks Suite 993
West Randall, WA 24090"
64	White	(Decimal('84.9548485'), Decimal('119.010993'))	M	20 Feb 1929	O-	053-29-1537	Retail buyer	Ethan Hancock	"22381 James Squares
Thomasland, WY 58856"
65	White	(Decimal('76.0732725'), Decimal('-14.199654'))	F	2019-01-19	AB+	254-30-7535	Tax inspector	Katherine Barker	"3954 Charlotte Prairie Apt. 822
East Jamieburgh, CO 45687"
66	Black	(Decimal('33.7999625'), Decimal('129.647137'))	M	07 Nov 1946	B-	681-69-0133	Exercise physiologist	Timothy Stevens	"334 Susan Ridge Suite 068
Gregoryfort, KS 53354"
67	Indian	(Decimal('-36.015075'), Decimal('-88.644819'))	F	27 Nov 1993	B-	857-66-6633	Claims inspector/assessor	Jennifer Hill	"88628 Thomas Cliff Suite 031
Johnsonmouth, NE 82526"
68	White	(Decimal('-44.9194585'), Decimal('-34.843852'))	M	26 Feb 1952	AB+	569-34-3300	Education officer, environmental	Anthony Torres	"974 Martin Divide
Port Manuel, NM 86946"
69	White	(Decimal('79.933854'), Decimal('-62.162166'))	M	07 Jul 1934	O+	236-12-2424	Broadcast presenter	Jack Bryan	"556 Ferguson Roads Apt. 815
Reynoldsstad, KS 22506"
70	black	(Decimal('-75.4167415'), Decimal('-10.253233'))	M	02/27/1944, 00:00:00	O+	760-67-2862	Travel agency manager	Patrick Melendez	"0721 Mitchell Parkway Suite 638
Henryfort, DE 26370"
71	black	(Decimal('51.710257'), Decimal('56.217928'))	F	1991/08/27	A+	613-30-0295	Psychologist, educational	Jennifer Sparks	"1878 Williams Path Apt. 814
Vegafort, RI 27960"
72	White	(Decimal('-36.8568935'), Decimal('147.714573'))	F	04/23/1969, 00:00:00	A-	692-53-5860	Further education lecturer	Carolyn Hull	"Unit 8899 Box 1370
DPO AE 71037"
73	White	(Decimal('53.6666355'), Decimal('-41.229168'))	M	1968-05-05	AB+	464-68-0225	Programmer, systems	Shannon Sandoval	"77292 Ingram Village Apt. 399
Carolynside, VT 94408"
74	Black	(Decimal('73.659214'), Decimal('30.729119'))	F	07/19/2009, 00:00:00	B+	098-61-2908	Designer, exhibition/display	Jodi Snyder	"589 David Extension
Toddchester, TN 02614"
75	Hawaiian	(Decimal('64.036836'), Decimal('-62.965801'))	F	1999-07-03	A+	054-58-3026	Investment banker, operational	Kimberly Miller	"1321 Thomas Cliffs
South Christopherborough, ME 56311"
76	Asian	(Decimal('62.0525585'), Decimal('-150.281993'))	M	1955-07-21	O+	621-70-1236	Scientist, product/process development	Brian Cantu	"666 Stokes Estates
Amandahaven, KS 63337"
77	Black	(Decimal('-32.5014445'), Decimal('-89.927242'))	F	21 Mar 1999	O-	141-44-9586	Sports administrator	Alicia Suarez	"6539 Jeremy Meadow Apt. 958
Andersonborough, IN 69240"
78	Black	(Decimal('-33.280749'), Decimal('133.757899'))	F	1972-05-14	O-	470-13-9341	Designer, furniture	Robin Beasley	"73422 Donald Lock
East Adamview, IA 19947"
79	White	(Decimal('-2.4105265'), Decimal('-162.106984'))	M	07/20/1915, 00:00:00	O-	640-07-6171	Lawyer	Charles Kim	"47962 Shane Drive
Port Adamburgh, AR 96760"
80	Black	(Decimal('9.7653235'), Decimal('20.875512'))	F	1970/01/25	AB+	261-70-4665	Surveyor, commercial/residential	Eileen Taylor	"5317 Jennifer Lake Suite 781
South Michael, DE 55932"
81	White	(Decimal('-69.612592'), Decimal('137.104641'))	M	07/28/1917, 00:00:00	O+	275-16-0034	Corporate treasurer	Samuel Tucker	"4400 Owens Parkway
Callahanside, SC 77735"
82	White	(Decimal('-61.876199'), Decimal('120.029316'))	F	1984/12/17	AB+	860-39-6826	Therapist, horticultural	Megan Lewis	"4557 Glenn Place Apt. 837
Josephmouth, OH 38012"
83	Asian	(Decimal('46.7953715'), Decimal('71.038919'))	F	1910-02-18	A+	866-50-4206	Merchandiser, retail	Rachel Arnold	"6917 Zamora Ferry
Port Huntermouth, DC 34288"
84	White	(Decimal('-39.177048'), Decimal('-83.179032'))	M	2017-11-26	AB-	673-32-1514	Printmaker	Derek Durham	"511 Boyd Hill
Brandichester, NV 06669"
85	White	(Decimal('53.168081'), Decimal('-124.898911'))	M	1906-11-12	A+	386-79-1801	Warden/ranger	Scott Sandoval	"6677 Johnson Mount Suite 061
Port Breannaton, DC 82818"
86	White	(Decimal('27.731625'), Decimal('37.322591'))	F	1942-02-17	O+	652-95-0645	Copy	Maureen Anderson	"74682 Myers Flat Apt. 727
South Brady, DE 76295"
87	black	(Decimal('81.1930255'), Decimal('158.437667'))	F	2014/10/03	B+	884-02-6230	Herbalist	Lori Powell	"936 John Hill Suite 870
Glennton, IL 35049"
88	Indian	(Decimal('-51.3952275'), Decimal('144.649598'))	M	1906/02/12	B+	156-29-7152	Glass blower/designer	Christopher Little	"72566 Williams Fork Suite 546
Brownmouth, MA 31749"
89	Black	(Decimal('67.7269005'), Decimal('-144.645559'))	M	10/04/1993, 00:00:00	A-	711-70-1816	Outdoor activities/education manager	Daniel Gould	"74473 Brandon Tunnel
Philliphaven, UT 94611"
90	Black	(Decimal('-54.4029065'), Decimal('-69.642269'))	F	1951/03/29	A+	458-32-9626	Art gallery manager	Patricia Chavez	"4922 Reed Trail
Moranfurt, AK 77894"
91	White	(Decimal('-86.1228575'), Decimal('80.783664'))	F	1925/04/01	O+	315-08-0826	Therapist, nutritional	Felicia Beard	"623 Harvey Flats
Graveston, VT 05857"
92	White	(Decimal('-78.212541'), Decimal('-37.846717'))	M	21 Nov 1979	AB+	095-23-2418	Housing manager/officer	Joseph Green	"130 Williams Port
Cynthiatown, FL 43840"
93	White	(Decimal('83.953559'), Decimal('105.286110'))	F	1957/03/03	O+	688-61-9737	Video editor	Maria Miranda	"470 Maxwell Circle
New Lindamouth, FL 40478"
94	Black	(Decimal('-31.4637985'), Decimal('-128.868494'))	M	1982-07-02	AB-	877-33-5773	Community education officer	Kelly White	"414 Timothy Union Apt. 047
Russellland, CO 78276"
95	White	(Decimal('21.973233'), Decimal('-64.443111'))	F	1983/07/07	AB-	037-31-3429	Community development worker	Emma Howard	"58548 John Loaf
Freemanburgh, MT 69393"
96	White	(Decimal('6.718639'), Decimal('-0.975569'))	F	1949-01-07	AB-	127-78-5883	Civil Service fast streamer	Gail Santos	"7211 David Wells Apt. 598
South Patriciaview, NM 71211"
97	Black	(Decimal('-17.353526'), Decimal('-35.337291'))	M	1905-10-01	O-	128-98-0379	Retail merchandiser	Bryan Martinez	"USNS Welch
FPO AA 36438"
98	White	(Decimal('5.656133'), Decimal('-16.561693'))	F	1906/08/05	A+	455-10-4283	Tax inspector	Linda Lewis	"Unit 3966 Box 4151
DPO AA 90699"
99	Black	(Decimal('-34.0863385'), Decimal('75.882247'))	F	1939-12-30	AB+	480-29-1299	Patent examiner	Colleen Torres	"7648 Jones Skyway Suite 132
East Danielleberg, IA 24837"
100	White	(Decimal('-25.629942'), Decimal('121.018383'))	M	09/12/1929, 00:00:00	A+	850-30-0637	Social worker	Steven Johnson	"92093 Susan Streets Suite 719
East Catherinehaven, TX 40393"
101	Black	(Decimal('50.8696605'), Decimal('-69.505500'))	F	1923/10/12	B-	251-87-1659	Engineer, communications	Brandi Moses	"0037 Dawn Green
East Sandra, AZ 40277"
102	Black	(Decimal('84.075959'), Decimal('92.013017'))	F	1954/04/20	AB+	241-62-4610	Engineer, automotive	Joan Carpenter	"7605 Bolton Alley Suite 356
Hansonfort, NY 23333"
103	Hawaiian	(Decimal('10.7597125'), Decimal('-38.357320'))	M	06 Jul 1994	O-	371-46-0080	Tax adviser	Christopher Perez	"12488 Holland Park
Port Gloriatown, CO 78954"
104	Black	(Decimal('27.036123'), Decimal('152.363982'))	M	11/28/1947, 00:00:00	A+	482-31-3939	Sales professional, IT	David Jones	"21118 John Wells Apt. 145
Finleybury, NE 51626"
105	White	(Decimal('45.4875205'), Decimal('119.630053'))	F	11/10/1917, 00:00:00	B-	535-29-9118	Human resources officer	Mindy Sullivan	"948 Gallagher Island Apt. 829
Port Troyside, AR 16583"
106	White	(Decimal('25.6415195'), Decimal('-54.868383'))	M	07/23/1969, 00:00:00	AB+	680-29-6742	Equality and diversity officer	Anthony Johnson	"295 Cox Court
Jonathanville, MD 24215"
107	White	(Decimal('89.469418'), Decimal('-8.200391'))	M	1927/11/12	A+	106-43-4384	Textile designer	Mark Robinson	"01068 Pope Pines Apt. 212
South Lori, GA 66967"
108	White	(Decimal('-76.5150495'), Decimal('59.891037'))	F	1995/01/07	A-	135-92-4876	Science writer	Valerie Williams	"4014 Robert Oval Apt. 706
Khanborough, WV 18866"
109	White	(Decimal('75.2289655'), Decimal('64.195148'))	F	1928-02-09	O-	718-69-9090	Community development worker	Heidi Jones	"4833 Victoria Freeway Suite 766
Laurentown, OK 46289"
110	White	(Decimal('-36.063691'), Decimal('-149.096044'))	F	04/05/1972, 00:00:00	A+	231-96-6553	Chemist, analytical	Cynthia Wallace	"12649 Sheena Corner Suite 222
North Eric, RI 48658"
111	Asian	(Decimal('88.6946245'), Decimal('-25.501354'))	M	22 Oct 2004	AB-	206-53-3585	Personnel officer	Douglas Carter	"4725 Mary Crest
Johnsonstad, HI 16795"
112	black	(Decimal('-74.7162945'), Decimal('51.372565'))	M	1977/11/25	A+	100-76-4647	Careers information officer	Paul Lynch	"USNS Hall
FPO AE 40964"
113	White	(Decimal('71.4089995'), Decimal('-67.478303'))	M	11/06/1997, 00:00:00	O-	263-73-8763	Pharmacologist	Kelly Fields	"1740 Cole Pike
Port Davidborough, TX 98255"
114	White	(Decimal('69.5374995'), Decimal('90.628160'))	F	1991/02/22	B-	866-43-6434	Nature conservation officer	Angela Clark	"516 Joshua Gardens
Lake Jessicaside, MA 70724"
115	White	(Decimal('31.307216'), Decimal('-169.100002'))	M	1927-01-24	B+	604-62-9665	Equality and diversity officer	Tyler Ortega	"3932 Samantha Hollow
Eugenehaven, NM 74221"
116	White	(Decimal('76.738910'), Decimal('157.289885'))	F	1974/08/02	AB+	753-66-9001	Nurse, children's	Erica Newton	"USNV Oliver
FPO AA 53640"
117	Black	(Decimal('-56.1343025'), Decimal('20.726440'))	F	05/17/1955, 00:00:00	O-	097-79-1345	Press photographer	Victoria Daniels	"2458 Michael Course Suite 982
Christinehaven, RI 70670"
118	White	(Decimal('22.127947'), Decimal('-50.345608'))	M	04/02/1982, 00:00:00	B-	034-95-5787	Film/video editor	Michael Noble	"509 Austin Parkways Suite 970
Emilytown, TN 57499"
119	Hawaiian	(Decimal('18.8399285'), Decimal('-148.897538'))	M	12/21/2005, 00:00:00	O-	390-53-4435	Designer, television/film set	Ricky Gray	"4812 Johns Tunnel
Claytonmouth, LA 83330"
120	black	(Decimal('-57.3278275'), Decimal('27.304671'))	M	1995-08-18	AB-	234-63-1828	Office manager	Lee Kane	"97268 Joseph Valley Suite 973
New Melissa, UT 15708"
121	Black	(Decimal('53.812826'), Decimal('69.244978'))	M	1953/05/13	B-	204-18-1631	Lexicographer	William Mosley	"18912 Derek Court Suite 033
Perkinsbury, ND 12208"
122	White	(Decimal('-58.3573855'), Decimal('145.965117'))	M	1977-05-21	O-	010-67-8489	Runner, broadcasting/film/video	Jeffrey Hicks	"291 Gregory Meadow
New Vickieberg, WY 67118"
123	White	(Decimal('88.9180015'), Decimal('-22.308592'))	M	1988/02/17	AB-	250-89-6232	Barrister	Evan Murray	"35633 Robinson Views Suite 215
Brewerfurt, FL 98896"
124	White	(Decimal('27.786972'), Decimal('-131.156435'))	M	1988-04-24	B+	237-13-2035	Minerals surveyor	Timothy Peck DDS	"973 Lisa Orchard
Perryton, MI 07124"
125	White	(Decimal('76.0470655'), Decimal('53.132641'))	F	09/20/1940, 00:00:00	A+	025-64-6020	Sports development officer	Brittney Anderson	"4994 Michael Stravenue
New Scottville, IN 81413"
126	White	(Decimal('45.830833'), Decimal('40.833471'))	M	2015/02/04	B+	133-71-3633	Environmental education officer	Nicholas Ford	"751 David Junction
Rosarioburgh, MD 38582"
127	White	(Decimal('-56.6584235'), Decimal('177.610575'))	M	05 Dec 1939	O+	625-53-5583	Energy engineer	Jason Bruce	"6383 Michael Cliff
Shannonside, TN 86737"
128	White	(Decimal('63.966573'), Decimal('53.978414'))	M	1943/01/11	O-	056-45-2161	Solicitor	Steven Berry	"307 Nicole Stream
New Jenniferland, AL 94238"
129	Asian	(Decimal('-21.326225'), Decimal('-109.954559'))	M	02/25/1971, 00:00:00	O-	294-24-4380	Police officer	Andrew Davis	"PSC 9368, Box 8945
APO AA 63793"
130	White	(Decimal('58.896078'), Decimal('-129.251640'))	M	1963/02/07	A+	698-29-4882	Optometrist	Jesus Hatfield	"8683 Dylan Run
Lake Margaret, OH 77760"
131	White	(Decimal('-44.197838'), Decimal('-0.903190'))	M	06/12/1987, 00:00:00	AB-	117-05-7054	Agricultural consultant	Steven Weaver	"446 Madison Bypass
Wolfberg, VT 72069"
132	White	(Decimal('89.6341025'), Decimal('-77.835245'))	F	2002/06/18	A+	138-62-2359	Osteopath	Ashley Bruce	"356 Alyssa Neck
Jordanstad, FL 11623"
133	White	(Decimal('45.6282515'), Decimal('-103.480237'))	F	03/12/2002, 00:00:00	A+	228-13-7875	Designer, jewellery	Hannah Chambers	"16314 Hill Walks
Lake Joshuatown, MS 41810"
134	White	(Decimal('18.771477'), Decimal('169.097033'))	M	27 Apr 1910	O+	715-14-8643	Clinical cytogeneticist	Marc English	"550 Brown Ridge
Lake Davidmouth, IA 76569"
135	White	(Decimal('-6.3924525'), Decimal('-100.172010'))	M	08/22/1979, 00:00:00	O-	281-54-6924	Information systems manager	David Bell	"235 Carter Shoal Apt. 310
Lake Jessefurt, MS 36425"
136	White	(Decimal('-10.774656'), Decimal('67.368702'))	F	1931/02/26	AB-	480-76-7257	Analytical chemist	Connie Day	"63498 Dixon Parks Apt. 550
Port Samuel, FL 33097"
137	black	(Decimal('85.7037495'), Decimal('-11.247767'))	F	03/22/1932, 00:00:00	AB+	783-36-4590	Corporate treasurer	Jo Sanders	"702 Gina Rest
Jenniferberg, HI 15970"
138	Black	(Decimal('7.1120845'), Decimal('7.773117'))	F	1928/12/23	AB-	795-70-5982	Psychologist, counselling	Cassie Andrews	"52900 Morgan Crescent Apt. 556
South Kelly, NY 52675"
139	White	(Decimal('71.655914'), Decimal('-23.302158'))	M	06/07/1952, 00:00:00	AB+	541-91-0048	Interpreter	Cody Wilson	"496 Daniel Ports Suite 101
West Amyberg, WA 18407"
140	Asian	(Decimal('68.1266165'), Decimal('-64.310071'))	M	1939/01/05	A-	668-59-6938	Estate manager/land agent	Michael Bell	"26650 Julia Terrace
Rachelshire, RI 24613"
141	Black	(Decimal('61.7647115'), Decimal('147.573850'))	M	2006-08-02	AB+	187-43-3188	Records manager	David Pena	"273 Dennis Creek Apt. 206
Vasquezstad, MO 93522"
142	White	(Decimal('22.405993'), Decimal('-28.965811'))	F	2006/05/28	AB-	569-52-0024	Engineer, building services	Ashley Pierce	"254 Jensen Fort Suite 017
Mosesfurt, SC 63794"
143	black	(Decimal('56.9805625'), Decimal('126.889880'))	M	1919-10-16	O-	700-96-2478	Scientific laboratory technician	Matthew Elliott	"519 Flowers Summit Apt. 714
North Mikayla, UT 56752"
144	Black	(Decimal('-51.1435035'), Decimal('91.253096'))	M	09/07/1966, 00:00:00	O-	178-18-5288	Television production assistant	Justin Calhoun	"17114 James Throughway
Hernandezport, MT 01391"
